RES;Cost (E/m2);Impact (kgCO2/m2);Lifetime (years);Efficiency;n0;k1;k2;ns;
Solar Thermal;439,0000;146,0000;25,0000;0,0000;0,7550;3,7380;0,0070;0,9000;
Solar Photovoltaic;442,0000;271,0000;25,0000;0,2280;0,0000;0,0000;0,0000;0,0000;
