CNTR_CODE;PopWgt;LandAreaWgt
RO;https://www.renewables.ninja/country_downloads/RO/ninja-weather-country-RO-irradiance_surface_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/RO/ninja-weather-country-RO-irradiance_surface_area_wtd-merra2.csv
PL;https://www.renewables.ninja/country_downloads/PL/ninja-weather-country-PL-irradiance_surface_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/PL/ninja-weather-country-PL-irradiance_surface_area_wtd-merra2.csv
PT;https://www.renewables.ninja/country_downloads/PT/ninja-weather-country-PT-irradiance_surface_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/PT/ninja-weather-country-PT-irradiance_surface_area_wtd-merra2.csv
RS;https://www.renewables.ninja/country_downloads/RS/ninja-weather-country-RS-irradiance_surface_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/RS/ninja-weather-country-RS-irradiance_surface_area_wtd-merra2.csv
UA;https://www.renewables.ninja/country_downloads/UA/ninja-weather-country-UA-irradiance_surface_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/UA/ninja-weather-country-UA-irradiance_surface_area_wtd-merra2.csv
TR;https://www.renewables.ninja/country_downloads/TR/ninja-weather-country-TR-irradiance_surface_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/TR/ninja-weather-country-TR-irradiance_surface_area_wtd-merra2.csv
SE;https://www.renewables.ninja/country_downloads/SE/ninja-weather-country-SE-irradiance_surface_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/SE/ninja-weather-country-SE-irradiance_surface_area_wtd-merra2.csv
SK;https://www.renewables.ninja/country_downloads/SK/ninja-weather-country-SK-irradiance_surface_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/SK/ninja-weather-country-SK-irradiance_surface_area_wtd-merra2.csv
SI;https://www.renewables.ninja/country_downloads/SI/ninja-weather-country-SI-irradiance_surface_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/SI/ninja-weather-country-SI-irradiance_surface_area_wtd-merra2.csv
XK;https://www.renewables.ninja/country_downloads/XK/ninja-weather-country-XK-irradiance_surface_pop_wtd-merra2.csv;https://www.renewables.ninja/country_downloads/XK/ninja-weather-country-XK-irradiance_surface_area_wtd-merra2.csv
